run_id,t_fin_mm,N_fin,H_fin_mm,V_cm3,Q_W,Q_over_V,status
003,2.00,5,20.0,22.80,24.58,1.0782,OK
005,2.00,3,20.0,18.00,16.78,0.9323,OK
006,2.00,5,10.0,16.80,13.72,0.8165,OK
004,1.00,5,20.0,16.80,24.57,1.4625,OK
006,2.00,5,20.0,22.80,24.58,1.0782,OK
007,2.00,5,15.0,19.80,19.08,0.9637,OK
005,1.50,5,20.0,19.80,24.56,1.2402,OK
008,2.00,5,20.0,22.80,24.58,1.0782,OK
007,2.00,7,20.0,27.60,32.83,1.1895,OK
006,2.00,5,20.0,22.80,24.58,1.0782,OK
009,2.00,5,25.0,25.80,29.88,1.1582,OK
007,2.50,5,20.0,25.80,24.68,0.9567,OK
008,3.00,5,20.0,28.80,N/A,N/A,FAILED
008,2.00,9,20.0,32.40,N/A,N/A,FAILED
010,2.00,5,30.0,28.80,35.23,1.2232,OK
009,2.00,11,20.0,37.20,49.60,1.3335,OK
011,3.00,5,20.0,28.80,24.70,0.8578,OK
012,2.00,3,20.0,18.00,16.78,0.9323,OK
013,2.00,7,20.0,27.60,32.83,1.1895,OK
014,2.00,9,20.0,32.40,42.11,1.2997,OK
015,2.00,5,10.0,16.80,13.72,0.8165,OK
016,2.00,5,15.0,19.80,19.08,0.9637,OK
017,2.00,5,25.0,25.80,29.88,1.1582,OK
